speed,steering_angle,pose,velocity,torque,noisy_speed,cones_hit,time
7.596283574967338,10.602115122547094,[-21.75452141 -41.99345885  -1.44050792],[ 1.34913559 -6.39287531  0.69313327],3.1161818725988777,6.493363907095022,0,18.8
5.756079386227073,9.627060765916452,[-21.73982158 -42.06071491  -1.4332477 ],[ 1.32298445 -6.05304617  0.6534194 ],-116.4,6.315944879392624,0,18.81111111111111
5.756079386227073,9.627060765916452,[-21.72452548 -42.12850375  -1.42596333],[ 1.37664901 -6.10099518  0.6555933 ],20.14213100538003,5.946713207676464,0,18.822222222222223
5.756079386227073,9.627060765916452,[-21.70838936 -42.19782685  -1.41854808],[ 1.4522511  -6.23907933  0.66737232],52.20763694497929,6.2283357891808775,0,18.833333333333332
5.0,9.486685726640951,[-21.69265104 -42.26338786  -1.41156658],[ 1.41644846 -5.90049068  0.62833527],-116.4,5.974860065665426,0,18.844444444444445
5.0,9.486685726640951,[-21.67627677 -42.3297058   -1.40453698],[ 1.47368399 -5.96861467  0.63266402],27.478306862893383,6.047033915734532,0,18.855555555555554
5.0,9.486685726640951,[-21.65964441 -42.39523108  -1.39762299],[ 1.49691303 -5.89727532  0.62225877],-21.905959857960283,6.150288566059442,0,18.866666666666667
5.0983430725409296,8.618224283526123,[-21.64269016 -42.46027323  -1.39079065],[ 1.52588207 -5.85379339  0.6149109 ],-12.025788294529464,6.549771268841249,0,18.877777777777776
5.0983430725409296,8.618224283526123,[-21.62595199 -42.52287805  -1.3842494 ],[ 1.50643521 -5.63443385  0.58871226],-74.80645222406157,5.820557898261037,0,18.88888888888889
5.0983430725409296,8.618224283526123,[-21.60798918 -42.58850443  -1.37743404],[ 1.61665326 -5.90637357  0.61338248],100.38897831047896,6.208649108459184,0,18.9
5.0,8.583935574817124,[-21.59036867 -42.65135826  -1.37094889],[ 1.58584597 -5.65684544  0.58366385],-85.71071826893423,5.4539060003437765,0,18.91111111111111
5.0,8.583935574817124,[-21.57143769 -42.71741072  -1.36418102],[ 1.70378766 -5.94472101  0.60910814],106.5380819653636,6.323789702836333,0,18.92222222222222
5.0,8.583935574817124,[-21.5531622  -42.77974599  -1.35783933],[ 1.6447948  -5.61017394  0.57075226],-116.4,6.0522929217973065,0,18.933333333333334
5.0,7.503337984606318,[-21.53427041 -42.84286377  -1.35146505],[ 1.70026086 -5.68060107  0.57368521],28.70198298101625,6.074534840946475,0,18.944444444444443
5.0,7.503337984606318,[-21.51517283 -42.9053988   -1.34520412],[ 1.71878234 -5.62815231  0.56348379],-15.455029284380561,5.899038937450536,0,18.955555555555556
5.0,7.503337984606318,[-21.49558929 -42.96831041  -1.33896663],[ 1.76251826 -5.66204504  0.56137334],15.603501584379368,5.763089135019937,0,18.966666666666665
6.7165088661599865,9.904732381611028,[-21.47453766 -43.03469434  -1.33245411],[ 1.89464638 -5.97455314  0.58612692],116.4,6.140867118501591,0,18.977777777777778
6.7165088661599865,9.904732381611028,[-21.45362983 -43.09932752  -1.32616392],[ 1.88170535 -5.81698624  0.56611726],-53.076289179696964,5.808112411553082,0,18.988888888888887
6.7165088661599865,9.904732381611028,[-21.43178537 -43.1655599   -1.31975532],[ 1.96600129 -5.96091479  0.57677366],56.1724162186239,6.510660183754118,0,19.0
7.675432445288932,8.241665299635963,[-21.40905824 -43.23310561  -1.31324359],[ 2.04544121 -6.0791136   0.58605614],47.30109123405037,6.472411452519278,0,19.011111111111113
7.675432445288932,8.241665299635963,[-21.38576189 -43.30097665  -1.30672605],[ 2.09667198 -6.10839377  0.58657822],15.235817759000767,6.455075786187621,0,19.022222222222222
7.675432445288932,8.241665299635963,[-21.36192211 -43.36908266  -1.30021261],[ 2.1455798  -6.12954075  0.58620992],12.4066574115164,6.461721912029571,0,19.033333333333335
7.522519476845988,9.442919207084477,[-21.3378369  -43.43657619  -1.29378455],[ 2.16766898 -6.0744175   0.57852567],-15.374928900279787,6.368403508875976,0,19.044444444444444
7.522519476845988,9.442919207084477,[-21.31308416 -43.50462969  -1.28731994],[ 2.22774679 -6.12481534  0.58181507],23.359088285517707,6.280580577370136,0,19.055555555555557
7.522519476845988,9.442919207084477,[-21.28764535 -43.57323813  -1.28081   ],[ 2.28949291 -6.17475976  0.58589389],23.493777685985165,6.584794914652946,0,19.066666666666666
7.300985826290419,8.528180617374252,[-21.26260258 -43.63948448  -1.27452311],[ 2.25384917 -5.96217094  0.56582037],-72.92253697258128,6.394913919988089,0,19.07777777777778
7.300985826290419,8.528180617374252,[-21.2367407  -43.70665181  -1.26814875],[ 2.32756926 -6.04506025  0.57369224],35.747057924582606,6.8513635009461185,0,19.08888888888889
7.300985826290419,8.528180617374252,[-21.21122704 -43.77170841  -1.26197466],[ 2.29622924 -5.85509406  0.55566791],-64.93656766059605,6.2399427084720225,0,19.1
7.2579021263900705,7.87152390447957,[-21.18420695 -43.83940829  -1.25555017],[ 2.43180868 -6.09298914  0.57820474],93.42848506263823,6.80955523870418,0,19.11111111111111
7.2579021263900705,7.87152390447957,[-21.1577596  -43.90449995  -1.24937823],[ 2.38026156 -5.85824895  0.55547397],-81.68065223829235,6.284223718528725,0,19.122222222222224
7.2579021263900705,7.87152390447957,[-21.12986148 -43.9720195   -1.24298638],[ 2.51082992 -6.07675965  0.57526644],86.74616694943012,6.4292679647791635,0,19.133333333333333
7.163629989764084,8.69920538418637,[-21.101923   -44.03849088  -1.23670673],[ 2.51446362 -5.98242429  0.56516914],-29.52831958757568,6.7448238661506545,0,19.144444444444446
7.163629989764084,8.69920538418637,[-21.07414114 -44.10349426  -1.23057429],[ 2.50036727 -5.85030441  0.55191901],-43.81945470536696,6.440407876451265,0,19.155555555555555
7.163629989764084,8.69920538418637,[-21.04531305 -44.16985931  -1.22431832],[ 2.59452784 -5.97285417  0.56303811],51.629556857616386,6.704477403713406,0,19.166666666666668
7.56820390265218,8.194074973587782,[-21.0157109  -44.23689115  -1.21800018],[ 2.66419395 -6.03286567  0.56863235],28.57757003216294,6.6099343289629,0,19.177777777777777
7.56820390265218,8.194074973587782,[-20.98539958 -44.30440856  -1.21163758],[ 2.72801834 -6.07656729  0.57263368],22.706494043162692,6.833639120171675,0,19.18888888888889
7.56820390265218,8.194074973587782,[-20.95503222 -44.37095201  -1.20536834],[ 2.73306242 -5.98891027  0.56423162],-26.805152801943635,6.677792576586152,0,19.2
